family,trial,objective,selection_bacc,selection_kappa,dataset_bacc,dataset_kappa,model_bacc,model_kappa,state,top_k,variance_threshold,corr_threshold,resampler,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,iterations,depth,l2_leaf_reg,random_strength,bagging_temperature,min_samples_split,min_samples_leaf,max_features,hidden_layer_sizes,alpha,learning_rate_init,activation
xgb,21,0.47119194388446006,0.47087191358024694,0.32003030421312373,0.4290123456790123,0.3016491859689083,0.5486111111111112,0.35416666666666663,TrialState.COMPLETE,20,0.0001,1.0,smoteenn,600.0,6.0,0.2648808277634203,0.6926220888582811,0.7789104402568889,2.0394556818805576,0.000878763774345145,0.5439625687899496,,,,,,,,,,,,
xgb,22,0.5394419909363869,0.5390046296296297,0.4373613067572197,0.48148148148148157,0.4036327796264918,0.6458333333333334,0.5,TrialState.COMPLETE,20,0.0001,1.0,smote,440.0,6.0,0.23924637346194522,0.7271813835413203,0.6894589285095488,3.30829580228318,0.05542186210044316,0.5052338957592241,,,,,,,,,,,,
xgb,23,0.5557331425364759,0.5552854938271605,0.447648709315376,0.5015432098765432,0.41198092031425365,0.6550925925925926,0.5138888888888888,TrialState.COMPLETE,20,0.0001,1.0,none,680.0,6.0,0.11174925371301424,0.7113068252331992,0.7869190174376643,6.600162016071868,0.013530686995144857,4.7401534940842615e-05,,,,,,,,,,,,
xgb,24,0.5642343490460158,0.5637731481481482,0.46120089786756446,0.5046296296296297,0.41787317620650954,0.6736111111111112,0.5416666666666666,TrialState.COMPLETE,12,0.0,1.0,none,680.0,7.0,0.1007337945453384,0.6492700782471901,0.8401847623527359,6.305889169164972,0.3418923959498478,5.297371012115398e-05,,,,,,,,,,,,
xgb,25,0.5602220823980547,0.5597608024691358,0.46127992891881775,0.49845679012345673,0.4179947624392069,0.6736111111111112,0.5416666666666666,TrialState.COMPLETE,12,0.0,1.0,none,720.0,7.0,0.10129589100735725,0.6480162152572498,0.8549049371475138,6.577548252977739,0.20131800771936853,2.8568153634626486e-05,,,,,,,,,,,,
xgb,26,0.5697944079685745,0.5693287037037036,0.46570426487093153,0.523148148148148,0.43975869809203144,0.6550925925925927,0.5138888888888888,TrialState.COMPLETE,12,0.0,0.98,none,800.0,8.0,0.08147607286318125,0.6519469358629878,0.8584527211825286,5.7963026307610805,0.36494321232032745,4.003743496727363e-05,,,,,,,,,,,,
xgb,27,0.5517281285072952,0.5512731481481482,0.45498035914702584,0.4953703703703704,0.423260381593715,0.6550925925925927,0.5138888888888888,TrialState.COMPLETE,12,0.0,0.98,none,800.0,8.0,0.08476417019539992,0.6408044890125305,0.8953641653130088,5.713965630279028,0.3576413112270071,2.335278298149333e-05,,,,,,,,,,,,
xgb,28,0.5617626038159372,0.5613040123456791,0.45859147025813696,0.5108024691358025,0.4288159371492705,0.6550925925925927,0.5138888888888888,TrialState.COMPLETE,12,0.0,0.98,none,720.0,8.0,0.07901221372486021,0.6270387695827905,0.848063034330951,6.638850244189846,0.5213314675673919,1.5392284365304312e-05,,,,,,,,,,,,
xgb,29,0.558903930274972,0.5584490740740741,0.4548562008978676,0.5138888888888888,0.434287317620651,0.6412037037037037,0.4930555555555555,TrialState.COMPLETE,12,0.0,0.98,none,720.0,8.0,0.07504365564221313,0.5532139768743477,0.9363865567164196,4.996108421213125,0.6109050004455061,1.199614808040627e-06,,,,,,,,,,,,
xgb,30,0.5351870329957954,0.5347608024691358,0.4262305266596311,0.4799382716049383,0.39398713503191113,0.6365740740740741,0.4861111111111111,TrialState.COMPLETE,12,0.0,0.98,smote,800.0,8.0,0.04761137497280125,0.6126132165230058,0.8373195193000913,6.093931872800369,0.0688819896968451,1.024485102442584e-06,,,,,,,,,,,,
